Department,Link to Courses
Geography,https://registrar.ucla.edu/academics/course-descriptions?search=Geography
German,https://registrar.ucla.edu/academics/course-descriptions?search=German
Gerontology,https://registrar.ucla.edu/academics/course-descriptions?search=Gerontology
Global Health,https://registrar.ucla.edu/academics/course-descriptions?search=Global+Health
Global Jazz Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Global+Jazz+Studies
Global Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Global+Studies
Graduate Student Professional Development,https://registrar.ucla.edu/academics/course-descriptions?search=Graduate+Student+Professional+Development
Greek,https://registrar.ucla.edu/academics/course-descriptions?search=Greek
Health Policy and Management,https://registrar.ucla.edu/academics/course-descriptions?search=Health+Policy+and+Management
Healthcare Administration,https://registrar.ucla.edu/academics/course-descriptions?search=Healthcare+Administration
Hebrew,https://registrar.ucla.edu/academics/course-descriptions?search=Hebrew
Hindi-Urdu,https://registrar.ucla.edu/academics/course-descriptions?search=Hindi-Urdu
History,https://registrar.ucla.edu/academics/course-descriptions?search=History
Honors Collegium,https://registrar.ucla.edu/academics/course-descriptions?search=Honors+Collegium
Human Genetics,https://registrar.ucla.edu/academics/course-descriptions?search=Human+Genetics
Hungarian,https://registrar.ucla.edu/academics/course-descriptions?search=Hungarian
Indigenous Languages of the Americas,https://registrar.ucla.edu/academics/course-descriptions?search=Indigenous+Languages+of+the+Americas
Indo-European Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Indo-European+Studies
Indonesian,https://registrar.ucla.edu/academics/course-descriptions?search=Indonesian
Information Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Information+Studies
International and Area Studies,https://registrar.ucla.edu/academics/course-descriptions?search=International+and+Area+Studies
International Development Studies,https://registrar.ucla.edu/academics/course-descriptions?search=International+Development+Studies
International Migration Studies,https://registrar.ucla.edu/academics/course-descriptions?search=International+Migration+Studies
Iranian,https://registrar.ucla.edu/academics/course-descriptions?search=Iranian
Islamic Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Islamic+Studies
Italian,https://registrar.ucla.edu/academics/course-descriptions?search=Italian
Japanese,https://registrar.ucla.edu/academics/course-descriptions?search=Japanese
Jewish Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Jewish+Studies
Korean,https://registrar.ucla.edu/academics/course-descriptions?search=Korean
Labor Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Labor+Studies
Latin,https://registrar.ucla.edu/academics/course-descriptions?search=Latin
Latin American Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Latin+American+Studies
Law,https://registrar.ucla.edu/academics/course-descriptions?search=Law
Law (Undergraduate),https://registrar.ucla.edu/academics/course-descriptions?search=Law+(Undergraduate)
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",https://registrar.ucla.edu/academics/course-descriptions?search=Lesbian%2C+Gay%2C+Bisexual%2C+Transgender%2C+and+Queer+Studies
Life Sciences,https://registrar.ucla.edu/academics/course-descriptions?search=Life+Sciences
Linguistics,https://registrar.ucla.edu/academics/course-descriptions?search=Linguistics
Lithuanian,https://registrar.ucla.edu/academics/course-descriptions?search=Lithuanian
Management,https://registrar.ucla.edu/academics/course-descriptions?search=Management
Management-Executive MBA,https://registrar.ucla.edu/academics/course-descriptions?search=Management-Executive+MBA
