,Major,Link
70,"Linguistics, Applied (B.A.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=074
71,Marine Biology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=537
72,Mathematics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=540
73,"Mathematics, Applied (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=072
74,Mathematics/Applied Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=545
75,"Mathematics, Data Theory (B.S.)",http://newstudents.ucla.edu/studyarea/?id=423
76,Mathematics/Economics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=778
77,"Mathematics, Financial Actuarial (B.S)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=08E
78,Mathematics for Teaching (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=00G
79,Mathematics of Computation (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=536
80,"Microbiology, Immunology, and Molecular Genetics (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=440
81,Middle Eastern Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=353
82,"Molecular, Cell, and Developmental Biology (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=644
83,Neuroscience (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=594
84,Nordic Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=410
85,Philosophy (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=651
86,Physics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=285
87,Physics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=666
88,Physiological Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=671
89,Political Science (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=699
90,Portuguese and Brazilian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=166
91,Psychobiology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=777
92,Psychology (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=780
93,"Religion, Study of (B.A.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=890
94,Russian Language and Literature (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=826
95,Russian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=824
96,Sociology (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=867
97,Southeast Asian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=447
98,Spanish (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=882
99,Spanish and Community and Culture (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=00W
100,Spanish and Linguistics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=878
101,Spanish and Portuguese (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=881
102,Statistics and Data Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=891
103,Architectural Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=308
104,Art (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=090
105,Dance (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=210
106,Design | Media Arts (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=207
107,World Arts and Cultures (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=932
108,Aerospace Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=279
109,Bioengineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=288
110,Chemical Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=294
111,Civil Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=300
112,Computer Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?id=413
113,Computer Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=201
114,Computer Science and Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=193
115,Electrical Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?id=84
116,Materials Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=336
117,Mechanical Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=330
118,Ethnomusicology (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=472
119,Global Jazz Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=419
120,Musicology (B.A.),https://newstudents.ucla.edu/studyarea/?type=MAJ&code=584
121,Music Composition (B.A.),https://newstudents.ucla.edu/studyarea/?id=422
122,Music Education (B.A.),https://newstudents.ucla.edu/studyarea/?id=415
123,Music History and Industry (B.A.),https://newstudents.ucla.edu/studyarea/?id=427
124,Music Performance (B.M.),https://newstudents.ucla.edu/studyarea/?id=426
125,Nursing - Prelicensure (B.S.),http://newstudents.ucla.edu/studyarea/?id=309
126,Public Affairs (B.A.),http://newstudents.ucla.edu/studyarea/?id=418
127,Film and Television (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=473
128,Theater (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=902
129,Education and Social Transformation (B.A.),https://newstudents.ucla.edu/studyarea/?id=429
