Major,Link,Preparation for the Major,The Major
Linguistics and Spanish (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=511,,
"Linguistics, Applied (B.A.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=074,,
Marine Biology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=537,,
Mathematics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=540,,
"Mathematics, Applied (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=072,,
Mathematics/Applied Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=545,,
"Mathematics, Data Theory (B.S.)",http://newstudents.ucla.edu/studyarea/?id=423,,
Mathematics/Economics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=778,,
"Mathematics, Financial Actuarial (B.S)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=08E,,
Mathematics for Teaching (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=00G,,
Mathematics of Computation (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=536,,
"Microbiology, Immunology, and Molecular Genetics (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=440,,
Middle Eastern Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=353,,
"Molecular, Cell, and Developmental Biology (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=644,,
Neuroscience (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=594,,
Nordic Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=410,,
Philosophy (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=651,,
Physics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=285,,
Physics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=666,,
Physiological Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=671,,
Political Science (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=699,,
Portuguese and Brazilian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=166,,
Psychobiology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=777,,
Psychology (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=780,,
"Religion, Study of (B.A.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=890,,
Russian Language and Literature (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=826,,
Russian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=824,,
Sociology (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=867,,
Southeast Asian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=447,,
Spanish (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=882,,
Spanish and Community and Culture (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=00W,,
Spanish and Linguistics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=878,,
Spanish and Portuguese (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=881,,
Statistics and Data Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=891,,
Architectural Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=308,,
Art (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=090,,
Dance (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=210,,
Design | Media Arts (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=207,,
World Arts and Cultures (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=932,,
Aerospace Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=279,,
Bioengineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=288,,
Chemical Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=294,,
Civil Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=300,,
Computer Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?id=413,,
Computer Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=201,,
Computer Science and Engineering (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=193,,
